0,4000
1,4001
2,4002
3,4005
4,4010
5,4015
6,4022
7,4030
8,4039
9,4050
10,4062
11,4075
12,4047
13,4002
14,3960
15,3919
16,3881
17,3844
18,3809
19,3776
20,3745
21,3715
22,3687
23,3661
24,3636
25,3612
26,3590
27,3569
28,3549
29,3531
30,3514
31,3498
32,3483
33,3470
34,3458
35,3446
36,3436
37,3427
38,3420
39,3413
40,3407
41,3402
42,3399
43,3396
44,3395
45,3394
46,3395
47,3396
48,3399
49,3402
50,3407
51,3413
52,3420
53,3427
54,3436
55,3446
56,3458
57,3470
58,3483
59,3498
60,3514
61,3531
62,3549
63,3569
64,3590
65,3612
66,3636
67,3661
68,3687
69,3715
70,3725
71,3702
72,3680
73,3660
74,3641
75,3623
76,3607
77,3592
78,3578
79,3566
80,3554
81,3544
82,3534
83,3526
84,3519
85,3513
86,3509
87,3505
88,3502
89,3501
90,3500
91,3501
92,3502
93,3505
94,3509
95,3513
96,3519
97,3526
98,3534
99,3544
100,3554
101,3566
102,3578
103,3592
104,3607
105,3623
106,3641
107,3660
108,3680
109,3702
110,3725
111,3749
112,3775
113,3802
114,3831
115,3862
116,3894
117,3928
118,3964
119,4002
120,4000
121,3883
122,3774
123,3672
124,3577
125,3487
126,3403
127,3323
128,3249
129,3178
130,3111
131,3049
132,2989
133,2933
134,2879
135,2828
136,2780
137,2735
138,2691
139,2650
140,2611
141,2574
142,2538
143,2504
144,2472
145,2442
146,2412
147,2385
148,2358
149,2333
150,2309
151,2287
152,2265
153,2245
154,2225
155,2207
156,2189
157,2173
158,2157
159,2142
160,2128
161,2115
162,2103
163,2091
164,2081
165,2071
166,2061
167,2053
168,2045
169,2037
170,2031
171,2025
172,2020
173,2015
174,2011
175,2008
176,2005
177,2003
178,2001
179,2000
180,2000
181,2000
182,2001
183,2003
184,2005
185,2008
186,2011
187,2015
188,2020
189,2025
190,2031
191,2037
192,2045
193,2053
194,2061
195,2071
196,2081
197,2091
198,2103
199,2115
200,2128
201,2142
202,2157
203,2173
204,2189
205,2207
206,2225
207,2203
208,2130
209,2063
210,2000
211,1942
212,1887
213,1836
214,1788
215,1743
216,1701
217,1662
218,1624
219,1589
220,1556
221,1524
222,1494
223,1466
224,1440
225,1414
226,1390
227,1367
228,1346
229,1325
230,1305
231,1287
232,1269
233,1252
234,1236
235,1221
236,1206
237,1192
238,1179
239,1167
240,1155
241,1143
242,1133
243,1122
244,1113
245,1103
246,1095
247,1086
248,1079
249,1071
250,1064
251,1058
252,1051
253,1046
254,1040
255,1035
256,1031
257,1026
258,1022
259,1019
260,1015
261,1012
262,1010
263,1008
264,1006
265,1004
266,1002
267,1001
268,1001
269,1000
270,1000
271,1000
272,1001
273,1001
274,1002
275,1004
276,1006
277,1008
278,1010
279,1012
280,1015
281,1019
282,1022
283,1026
284,1031
285,1035
286,1040
287,1046
288,1051
289,1058
290,1064
291,1071
292,1079
293,1086
294,1095
295,1103
296,1113
297,1122
298,1133
299,1143
300,1155
301,1167
302,1179
303,1192
304,1206
305,1221
306,1236
307,1252
308,1269
309,1287
310,1305
311,1325
312,1346
313,1367
314,1390
315,1414
316,1440
317,1466
318,1494
319,1524
320,1556
321,1589
322,1624
323,1662
324,1701
325,1743
326,1788
327,1836
328,1887
329,1942
330,2000
331,2063
332,2130
333,2203
334,2281
335,2366
336,2459
337,2559
338,2669
339,2790
340,2924
341,3072
342,3236
343,3420
344,3628
345,3864
346,4122
347,4105
348,4089
349,4075
350,4062
351,4050
352,4039
353,4030
354,4022
355,4015
356,4010
357,4005
358,4002
359,4001
360,4000
